X,Y
1.0,8.483570765056164
1.4736842105263157,7.876545530155157
1.9473684210526314,15.720437150337254
2.4210526315789473,25.357531553508274
2.894736842105263,23.178263597297445
3.3684210526315788,31.13125427342584
3.8421052631578947,49.49717211077795
4.315789473684211,56.08371104188644
4.789473684210526,61.890855217139624
5.263157894736842,80.28897750324836
5.7368421052631575,89.94329934757202
6.2105263157894735,105.96220995791049
6.684210526315789,126.877401385531
7.157894736842105,134.82418049416253
7.63157894736842,155.83524463244862
8.105263157894736,183.06390861418294
8.578947368421051,203.5729635119012
9.052631578947368,234.31638901754698
9.526315789473683,253.65932560577335
10.0,277.93848149332354
